A0A075B6H9	Immunoglobulin lambda variable 4-69
A6NHN6	Nuclear pore complex-interacting protein family member B15
A6NHP3	Speedy protein E2B
A6NHQ2	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1
A6NHQ4	Elongin BC and Polycomb repressive complex 2-associated protein
A6NHR8	Putative protein FAM47D
A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1
A6NHS1	Putative uncharacterized protein ENSP00000347057
A6NHS7	MANSC domain-containing protein 4
A6NHT5	Homeobox protein HMX3
A6NHX0	Cytosolic arginine sensor for mTORC1 subunit 2
A6NHY2	Ankyrin repeat and death domain-containing protein 1B
A6NHY6	Putative uncharacterized protein C9orf118
A6NHZ5	Leucine-rich repeat-containing protein 14B
A6NI03	Putative tripartite motif-containing protein 64B
A6NI15	Mesogenin-1
A6NI28	Rho GTPase-activating protein 42
A6NI47	Putative POTE ankyrin domain family member M
A6NI56	Coiled-coil domain-containing protein 154
A6NI61	Protein myomaker
A6NI72	Putative neutrophil cytosol factor 1B
A6NI73	Leukocyte immunoglobulin-like receptor subfamily A member 5
A6NI79	Coiled-coil domain-containing protein 69
A6NI86	Golgin subfamily A member 6-like protein 10
A6NI87	Protein chibby homolog 3
A6NIE6	Putative RRN3-like protein RRN3P2
A6NIE9	Putative serine protease 29
A6NIH7	Protein unc-119 homolog B
A6NIJ5	Putative protein FAM90A20P
A6NIJ9	Olfactory receptor 6C70
A6NIK2	Leucine-rich repeat-containing protein 10B
A6NIL9	Putative uncharacterized protein CRYM-AS1
A6NIM6	Solute carrier family 15 member 5
A6NIN4	Putative uncharacterized protein FLJ38447
A6NIR3	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5
A6NIU2	Putative uncharacterized protein encoded by LINC01549
A6NIV6	Leucine-rich repeat and IQ domain-containing protein 4
A6NIX2	Wilms tumor protein 1-interacting protein
A6NIY4	Speedy protein E5
A6NIZ1	Ras-related protein Rap-1b-like protein
A6NJ08	Putative methyl-CpG-binding domain protein 3-like 5
A6NJ46	Homeobox protein Nkx-6.3
A6NJ64	Putative NPIP-like protein LOC729978
A6NJ69	IgA-inducing protein homolog
A6NJ78	Probable methyltransferase-like protein 15
A6NJ88	Putative SAGE1-like protein
A6NJB7	Proline-rich protein 19
A6NJG2	Ankyrin repeat domain-containing protein SOWAHD
A6NJG6	Arginine-fifty homeobox
A6NJI1	Uncharacterized protein C11orf86
A6NJI9	Leucine-rich repeat-containing protein 72
A6NJJ6	UPF0575 protein C19orf67
A6NJL1	Zinc finger and SCAN domain-containing protein 5B
A6NJQ4	Putative protein FAM90A8P
A6NJR5	Putative speedy protein-like protein 3
A6NJT0	Homeobox protein unc-4 homolog
A6NJU9	Nuclear pore complex-interacting protein family member B13
A6NJV1	UPF0573 protein C2orf70
A6NJW4	Leucine-rich repeat-containing protein 3C
A6NJW9	Putative T-cell surface glycoprotein CD8 beta-2 chain
A6NJY1	Putative SLC9B1-like protein SLC9B1P1
A6NJY4	Putative transmembrane protein LOC100289255
A6NJZ3	Olfactory receptor 6C65
A6NJZ7	RIMS-binding protein 3C
A6NK02	Putative tripartite motif-containing protein 75
A6NK06	Cis-aconitate decarboxylase
A6NK44	Glyoxalase domain-containing protein 5
A6NK53	Zinc finger protein 233
A6NK58	Putative lipoyltransferase 2, mitochondrial
A6NK59	Ankyrin repeat and SOCS box protein 14
A6NK75	Zinc finger protein 98
A6NK89	Ras association domain-containing protein 10
A6NK97	Solute carrier family 22 member 20
A6NKB5	Pecanex-like protein 2
A6NKC0	Putative protein FAM90A7P
A6NKC9	SH2 domain-containing protein 7
A6NKD2	Testis-specific Y-encoded protein 2
A6NKD9	Coiled-coil domain-containing protein 85C
A6NKF1	SAC3 domain-containing protein 1
A6NKF2	AT-rich interactive domain-containing protein 3C
A6NKF7	Transmembrane protein 88B
A6NKG5	Retrotransposon-like protein 1
A6NKH3	Putative 60S ribosomal protein L37a-like protein
A6NKK0	Olfactory receptor 5H1
A6NKL6	Transmembrane protein 200C
A6NKN8	Purkinje cell protein 4-like protein 1
A6NKP2	Putative short-chain dehydrogenase/reductase family 42E member 2
A6NKQ9	Choriogonadotropin subunit beta variant 1
A6NKT7	RanBP2-like and GRIP domain-containing protein 3
A6NKU9	Speedy protein E3
A6NKW6	Protein shisa-like-2B
A6NKX1	Protein FAM223B
A6NKX4	Putative solute carrier family 22 member 31
A6NL05	Protein FAM74A7
A6NL08	Olfactory receptor 6C75
A6NL26	Olfactory receptor 5B21
A6NL46	Putative UPF0607 protein ENSP00000332738
A6NL82	Protein FAM183A
A6NL88	Protein shisa-7
A6NL99	Putative aquaporin-7-like protein 3
A6NLC5	UPF0524 protein C3orf70
A6NLC8	Putative TAF11-like protein ENSP00000332601
A6NLE4	Small integral membrane protein 23
A6NLF2	Elongin-A3 member D
A6NLI5	Tripartite motif-containing protein 64C
A6NLJ0	C2 calcium-dependent domain-containing protein 4B
A6NLP5	Tetratricopeptide repeat protein 36
A6NLU0	Ret finger protein-like 4A
A6NLU5	V-set and transmembrane domain-containing protein 2B
A6NLW8	Double homeobox protein A
A6NLX3	Speedy protein E4
A6NLX4	Transmembrane protein 210
A6NM03	Olfactory receptor 2AG2
A6NM10	Aquaporin-12B
A6NM11	Leucine-rich repeat-containing protein 37A2
A6NM28	Zinc finger protein 92 homolog
A6NM36	Leucine-rich repeat-containing protein 30
A6NM43	Putative T-complex protein 1 subunit theta-like 1
A6NM45	Putative claudin-24
A6NM62	Leucine-rich repeat-containing protein 53
A6NM66	Uncharacterized protein encoded by LINC01548
A6NM76	Olfactory receptor 6C76
A6NMA1	Putative uncharacterized protein TRPC5OS
A6NMB1	Sialic acid-binding Ig-like lectin 16
A6NMB9	Putative fidgetin-like protein 2
A6NMD0	Interferon-induced transmembrane protein 10
A6NMD2	Golgin subfamily A member 8J
A6NMK7	Putative cleavage and polyadenylation specificity factor subunit 4-like protein
A6NMK8	Protein FAM196B
A6NML5	Transmembrane protein 212
A6NMN3	Protein FAM170B
A6NMS3	Olfactory receptor 5K4
A6NMS7	Leucine-rich repeat-containing protein 37A
A6NMT0	Homeobox protein DBX1
A6NMU1	Olfactory receptor 52A4
A6NMX2	Eukaryotic translation initiation factor 4E type 1B
A6NMY6	Putative annexin A2-like protein
A6NMZ2	Sentan
A6NMZ5	Olfactory receptor 4C45
A6NMZ7	Collagen alpha-6(VI) chain
A6NN06	Putative UPF0633 protein MGC21881
A6NN14	Zinc finger protein 729
A6NN73	Golgin subfamily A member 8C
A6NN90	Uncharacterized protein C2orf81
A6NN92	Putative gap junction epsilon-1 protein
A6NNA2	Serine/arginine repetitive matrix protein 3
A6NNA5	Dorsal root ganglia homeobox protein
A6NNB3	Interferon-induced transmembrane protein 5
A6NNC1	Putative POM121-like protein 1-like
A6NND4	Olfactory receptor 2AT4
A6NNE9	E3 ubiquitin-protein ligase MARCH11
A6NNF4	Zinc finger protein 726
A6NNH2	Protein FAM90A27P
A6NNJ1	Putative protein FAM90A9P
A6NNL0	NUT family member 2B
A6NNL5	Uncharacterized protein C15orf61
A6NNM3	RIMS-binding protein 3B
A6NNM8	Tubulin polyglutamylase TTLL13P
A6NNN8	Putative sodium-coupled neutral amino acid transporter 8
A6NNP5	Coiled-coil domain-containing protein 169
A6NNS2	Dehydrogenase/reductase SDR family member 7C
A6NNT2	Uncharacterized protein C16orf96
A6NNV3	Putative speedy protein E16
A6NNW6	Enolase 4
A6NNX1	RIIa domain-containing protein 1
A6NNY8	Ubiquitin carboxyl-terminal hydrolase 27
A6NNZ2	Tubulin beta-8 chain-like protein LOC260334
A6NP11	Zinc finger protein 716
A6NP61	ZAR1-like protein
A6PVC2	Protein monoglycylase TTLL8
A6PVI3	Nuclear cap-binding protein subunit 2-like
A6PVL3	Kinocilin
A6PVS8	Leucine-rich repeat and IQ domain-containing protein 3
A6PVY3	Protein FAM177B
A6QL63	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11
A6QL64	Ankyrin repeat domain-containing protein 36A
A6XGL0	YjeF N-terminal domain-containing protein 3
A7E2F4	Golgin subfamily A member 8A
A7E2S9	Putative ankyrin repeat domain-containing protein 30B-like
A7E2U8	UPF0602 protein C4orf47
A7E2V4	Zinc finger SWIM domain-containing protein 8
A7E2Y1	Myosin-7B
A7KAX9	Rho GTPase-activating protein 32
A7MBM2	Protein dispatched homolog 2
A7MCY6	TANK-binding kinase 1-binding protein 1
A7MD48	Serine/arginine repetitive matrix protein 4
A7XYQ1	Sine oculis-binding protein homolog
A8CG34	Nuclear envelope pore membrane protein POM 121C
A8K010	Putative transcriptional regulator encoded by LINC00473
A8K0R7	Zinc finger protein 839
A8K0S8	Putative homeobox protein Meis3-like 2
A8K0Z3	WASH complex subunit 1
A8K2U0	Alpha-2-macroglobulin-like protein 1
A8K4G0	CMRF35-like molecule 7
A8K554	Putative protein ZNF815
A8K5M9	Uncharacterized protein C15orf62, mitochondrial
A8K7I4	Calcium-activated chloride channel regulator 1
A8K830	Colorectal cancer-associated protein 2
A8K855	EF-hand calcium-binding domain-containing protein 7
A8K8P3	Protein SFI1 homolog
A8K8V0	Zinc finger protein 785
A8K979	ERI1 exoribonuclease 2
A8MPP1	Putative ATP-dependent RNA helicase DDX11-like protein 8
A8MPS7	Carbohydrate deacetylase
A8MPX8	Protein phosphatase 2C-like domain-containing protein 1
A8MPY1	Gamma-aminobutyric acid receptor subunit rho-3
A8MQ03	Cysteine-rich tail protein 1
A8MQ11	Postmeiotic segregation increased 2-like protein 5
A8MQ14	Zinc finger protein 850
A8MQ27	E3 ubiquitin-protein ligase NEURL1B
A8MQB3	Uncharacterized protein C17orf51
A8MQT2	Golgin subfamily A member 8B
A8MRT5	Nuclear pore complex-interacting protein family member B5
A8MSI8	LYR motif-containing protein 9
A8MT19	Putative rhophilin-2-like protein RHPN2P1
A8MT33	Synaptonemal complex central element protein 1-like
A8MT65	Zinc finger protein 891
A8MT66	Putative uncharacterized protein ENSP00000383407
A8MT69	Centromere protein X
A8MT70	Zinc finger B-box domain-containing protein 1
A8MTA8	Protein FAM166B
A8MTB9	Carcinoembryonic antigen-related cell adhesion molecule 18
A8MTI9	Putative serine protease 47
A8MTJ3	Guanine nucleotide-binding protein G(t) subunit alpha-3
A8MTJ6	Forkhead box protein I3
A8MTL0	IQ domain-containing protein F5
A8MTL3	RING finger protein 212B
A8MTL9	Serpin-like protein HMSD
A8MTQ0	Homeobox protein notochord
A8MTT3	Protein CEBPZOS
A8MTW9	Putative uncharacterized protein ENSP00000380674
A8MTY0	Zinc finger protein 724
A8MTY7	Keratin-associated protein 9-7
A8MTZ0	BBSome-interacting protein 1
A8MTZ7	Uncharacterized protein C12orf71
A8MU10	Putative uncharacterized protein ENSP00000381562
A8MU46	Smoothelin-like protein 1
A8MU76	Putative UPF0607 protein ENSP00000381418
A8MU93	Uncharacterized protein C17orf100
A8MUA0	Putative UPF0607 protein ENSP00000381514
A8MUH7	Putative PDZ domain-containing protein PDZK1P1
A8MUI8	Putative UPF0607 protein ENSP00000383783
A8MUK1	Ubiquitin carboxyl-terminal hydrolase 17-like protein 5
A8MUL3	Putative uncharacterized protein ADARB2-AS1
A8MUM7	Galectin-16
A8MUN3	Putative uncharacterized protein ENSP00000381830
A8MUP2	Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial
A8MUP6	Germ cell-specific gene 1-like protein 2
A8MUU1	Putative fatty acid-binding protein 5-like protein 3
A8MUU9	Putative uncharacterized protein ENSP00000383309
A8MUV8	Putative zinc finger protein 727
A8MUX0	Keratin-associated protein 16-1
A8MUZ8	Putative zinc finger protein 705G
A8MV23	Serpin E3
A8MV24	Uncharacterized protein C17orf98
A8MV57	Putative mucosal pentraxin homolog
A8MV65	Transcription cofactor vestigial-like protein 3
A8MV72	Putative UPF0607 protein ENSP00000382826
A8MV81	HIG1 domain family member 1C
A8MVA2	Keratin-associated protein 9-6
A8MVJ9	Putative histone PARylation factor 1-like
A8MVM7	Putative uncharacterized protein ENSP00000382790
A8MVS1	Zinc finger protein 705F
A8MVS5	Protein HIDE1
A8MVU1	Putative neutrophil cytosol factor 1C
A8MVW0	Protein FAM171A2
A8MVW5	HEPACAM family member 2
A8MVX0	Rho guanine nucleotide exchange factor 33
A8MVZ5	Butyrophilin-like protein 10
A8MW92	PHD finger protein 20-like protein 1
A8MW95	Beclin-2
A8MW99	Meiosis-specific protein MEI4
A8MWA4	Putative zinc finger protein 705E
A8MWA6	Putative protein FAM90A22P
A8MWD9	Putative small nuclear ribonucleoprotein G-like protein 15
A8MWE9	EF-hand calcium-binding domain-containing protein 8
A8MWK0	Putative fatty acid desaturase 2-like protein FADS2P1
A8MWL6	Putative synaptogyrin-2 like protein
A8MWL7	Transmembrane protein 14DP
A8MWP4	Putative uncharacterized protein ENSP00000401716
A8MWP6	Uncharacterized protein ENSP00000382042
A8MWV9	Small integral membrane protein 34A
A8MWX3	Putative WAS protein family homolog 4
A8MWY0	UPF0577 protein KIAA1324-like
A8MX19	Putative protein FAM90A12P
A8MX34	Keratin-associated protein 29-1
A8MX76	Calpain-14
A8MX80	Putative UPF0607 protein ENSP00000383144
A8MXD5	Glutaredoxin domain-containing cysteine-rich protein 1
A8MXE2	Putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842
A8MXJ8	Putative protein FAM90A5P
A8MXK1	V-set and transmembrane domain-containing protein 5
A8MXK9	Uncharacterized protein ENSP00000382033
A8MXQ7	Putative IQ motif and ankyrin repeat domain-containing protein LOC642574
A8MXT2	Melanoma-associated antigen B17
A8MXU0	Putative beta-defensin 108A
A8MXV4	Nucleoside diphosphate-linked moiety X motif 19
A8MXV6	CMT1A duplicated region transcript 15 protein-like protein
A8MXY4	Zinc finger protein 99
A8MXZ1	Putative protein FAM90A23P
A8MXZ3	Keratin-associated protein 9-1
A8MY62	Putative beta-lactamase-like 1
A8MYA2	Uncharacterized protein CXorf49
A8MYB1	Transmembrane and coiled-coil domain-containing protein 5B
A8MYJ7	Tetratricopeptide repeat protein 34
A8MYP8	Outer dense fiber protein 3B
A8MYU2	Potassium channel subfamily U member 1
A8MYV0	Doublecortin domain-containing protein 2C
A8MYX2	Protein FAM25E
A8MYZ0	Inactive ubiquitin carboxyl-terminal hydrolase MINDY-4B
A8MYZ5	IQ domain-containing protein F6
A8MYZ6	Forkhead box protein O6
A8MZ25	Putative uncharacterized protein FLJ38767
A8MZ26	EF-hand calcium-binding domain-containing protein 9
A8MZ36	Envoplakin-like protein
A8MZ59	Leucine-twenty homeobox
A8MZ97	Uncharacterized protein C2orf74
A8MZA4	Golgin subfamily A member 6-like protein 6
A8MZF0	Proline-rich protein 33
A8MZG2	Uncharacterized protein C16orf90
A8MZH6	Putative oocyte-secreted protein 1 homolog
A8TX70	Collagen alpha-5(VI) chain
A9QM74	Importin subunit alpha-8
A9UHW6	MIF4G domain-containing protein
A9YTQ3	Aryl hydrocarbon receptor repressor
A9Z1Z3	Fer-1-like protein 4
B0FP48	Uroplakin-3b-like protein 1
B0I1T2	Unconventional myosin-Ig
B0YJ81	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1
B1AJZ1	Putative uncharacterized protein C1orf196
B1AJZ9	Forkhead-associated domain-containing protein 1
B1AK53	Espin
B1AK76	Putative SNURF-like protein
B1AKI9	Isthmin-1
B1AL46	NUT family member 2E
B1AL88	Transmembrane protein FAM155A
B1AMM8	Putative uncharacterized protein encoded by LINC00587
B1ANH7	Putative uncharacterized protein IBA57-AS1
B1ANS9	WD repeat-containing protein 64
B1ANY3	Putative protein FAM220BP
B1APH4	Putative zinc finger protein 487
B1ATL7	Proline-rich protein 32
B2CW77	Killin
B2RBV5	Putative MORF4 family-associated protein 1-like protein UPP
B2RC85	Radial spoke head 10 homolog B2
B2RD01	CENPB DNA-binding domain-containing protein 1
B2RN74	Olfactory receptor 11H12
B2RNN3	Complement C1q and tumor necrosis factor-related protein 9B
B2RPK0	Putative high mobility group protein B1-like 1
B2RTY4	Unconventional myosin-IXa
B2RU33	POTE ankyrin domain family member C
B2RUY7	von Willebrand factor C domain-containing protein 2-like
B2RUZ4	Small integral membrane protein 1
B2RV13	Uncharacterized protein CFAP97D1
B2RXF0	Transmembrane protein 229A
B2RXF5	Zinc finger and BTB domain-containing protein 42
B2RXH2	Lysine-specific demethylase 4E
B2RXH4	BTB/POZ domain-containing protein 18
B2RXH8	Heterogeneous nuclear ribonucleoprotein C-like 2
B3EWF7	Laforin, isoform 9
B3EWG3	Protein FAM25A
B3EWG5	Protein FAM25C
B3EWG6	Protein FAM25G
B3GLJ2	Prostate and testis expressed protein 3
B3KS81	Serine/arginine repetitive matrix protein 5
B3KU38	IQCJ-SCHIP1 readthrough transcript protein
B3SHH9	Transmembrane protein 114
B4DH59	Neuroblastoma breakpoint family member 26
B4DJY2	Transmembrane protein 233
B4DS77	Protein shisa-9
B4DU55	Zinc finger protein 879
B4DX44	Zinc finger protein 736
B4DXR9	Zinc finger protein 732
B4DYI2	Putative spermatogenesis-associated protein 31C2
B4DZS4	T-complex protein 11 X-linked protein 1
B4E2M5	Ankyrin repeat domain-containing protein 66
B5MCN3	Putative SEC14-like protein 6
B5MCY1	Tudor domain-containing protein 15
B5MD39	Putative glutathione hydrolase light chain 3
B5ME19	Eukaryotic translation initiation factor 3 subunit C-like protein
B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1
B6SEH8	Endogenous retrovirus group V member 1 Env polyprotein
B6SEH9	Endogenous retrovirus group V member 2 Env polyprotein
B7U540	Inward rectifier potassium channel 18
B7Z1M9	C2 calcium-dependent domain-containing protein 4D
B7Z368	Uncharacterized protein C10orf142
B7Z6K7	Putative uncharacterized zinc finger protein 814
B7Z8K6	T-cell receptor delta chain C region
B7ZAQ6	Golgi pH regulator A
B7ZBB8	Protein phosphatase 1 regulatory subunit 3G
B7ZC32	Kinesin-like protein KIF28P
B7ZW38	Heterogeneous nuclear ribonucleoprotein C-like 3
B8ZZ34	Protein shisa-8
B9A014	Uncharacterized protein C21orf140
B9A064	Immunoglobulin lambda-like polypeptide 5
B9A6J9	TBC1 domain family member 3L
B9EJG8	Transmembrane protein 150C
B9ZVM9	T-complex protein 10A homolog 2
C4AMC7	Putative WAS protein family homolog 3
C9J069	Apical junction component 1 homolog
C9J1S8	Tripartite motif-containing protein 49D
C9J202	Putative glycosyltransferase ALG1L2
C9J2P7	Ubiquitin carboxyl-terminal hydrolase 17-like protein 15
C9J302	Uncharacterized protein C4orf51
C9J3I9	Putative uncharacterized protein C5orf58
C9J3V5	Testis-expressed protein 22
C9J442	Uncharacterized protein C22orf46
C9J6K1	Putative uncharacterized protein C19orf81
C9J798	Ras GTPase-activating protein 4B
C9J7I0	UBAP1-MVB12-associated (UMA)-domain containing protein 1
C9JBD0	KRAB domain-containing protein 1
C9JC47	Putative protein FAM157A
C9JCN9	Heat shock factor-binding protein 1-like protein 1
C9JDP6	Putative claudin-25
C9JDV5	Putative uncharacterized protein C12orf77
C9JE40	Protein PAT1 homolog 2
C9JFL3	Proline, histidine and glycine-rich protein 1
C9JG80	Nuclear pore complex-interacting protein family member B4
C9JH25	Proline-rich transmembrane protein 4
C9JI98	Transmembrane protein 238
C9JJ37	BTB/POZ domain-containing protein 19
C9JJH3	Ubiquitin carboxyl-terminal hydrolase 17-like protein 10
C9JL84	HERV-H LTR-associating protein 1
C9JLJ4	Ubiquitin carboxyl-terminal hydrolase 17-like protein 13
C9JLR9	Uncharacterized protein C11orf95
C9JLW8	Mapk-regulated corepressor-interacting protein 1
C9JN71	Zinc finger protein 878
C9JPN9	Ubiquitin carboxyl-terminal hydrolase 17-like protein 12
C9JQI7	Transmembrane protein 232
C9JQL5	Putative dispanin subfamily A member 2d
C9JR72	Kelch repeat and BTB domain-containing protein 13
C9JRZ8	Aldo-keto reductase family 1 member B15
C9JSJ3	Basic helix-loop-helix and HMG box domain-containing protein 1
C9JTQ0	Ankyrin repeat domain-containing protein 63
C9JUS6	Putative adrenomedullin-5-like protein
C9JVI0	Ubiquitin carboxyl-terminal hydrolase 17-like protein 11
C9JVW0	Putative transmembrane protein INAFM1
C9JXX5	Uncharacterized protein C11orf94
D3DTV9	Putative protein PRAC2
D3W0D1	Killer cell lectin-like receptor subfamily F member 2
D6R901	Ubiquitin carboxyl-terminal hydrolase 17-like protein 21
D6R9N7	Ubiquitin carboxyl-terminal hydrolase 17-like protein 18
D6RA61	Ubiquitin carboxyl-terminal hydrolase 17-like protein 22
D6RBM5	Putative ubiquitin carboxyl-terminal hydrolase 17-like protein 23
D6RBQ6	Ubiquitin carboxyl-terminal hydrolase 17-like protein 17
D6RCP7	Ubiquitin carboxyl-terminal hydrolase 17-like protein 19
D6REC4	Cilia- and flagella-associated protein 99
D6RF30	Golgin subfamily A member 8K
D6RGH6	Multicilin
D6RIA3	Uncharacterized protein C4orf54
D6RJB6	Ubiquitin carboxyl-terminal hydrolase 17-like protein 20
E0CX11	Short transmembrane mitochondrial protein 1
