Entry	Protein names	Gene names
Q8NDF8	Non-canonical poly(A) RNA polymerase PAPD5 (EC 2.7.7.19) (PAP-associated domain-containing protein 5) (Terminal nucleotidyltransferase 4B) (Terminal uridylyltransferase 3) (TUTase 3) (Topoisomerase-related function protein 4-2) (TRF4-2)	TENT4B GLD4 PAPD5 TRF4-2
Q9BZ23	Pantothenate kinase 2, mitochondrial (hPanK2) (EC 2.7.1.33) (Pantothenic acid kinase 2)	PANK2 C20orf48
Q8TEW8	Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein) (PAR3-beta) (Partitioning defective 3-like protein) (PAR3-L protein)	PARD3B ALS2CR19 PAR3B PAR3L
O00254	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2RL2 PAR3
Q13219	Pappalysin-1 (EC 3.4.24.79) (Insulin-like growth factor-dependent IGF-binding protein 4 protease) (IGF-dependent IGFBP-4 protease) (IGFBP-4ase) (Pregnancy-associated plasma protein A) (PAPP-A)	PAPPA
Q9NPB6	Partitioning defective 6 homolog alpha (PAR-6) (PAR-6 alpha) (PAR-6A) (PAR6C) (Tax interaction protein 40) (TIP-40)	PARD6A PAR6A
O43252	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS1 ATPSK1 PAPSS
Q9BYG5	Partitioning defective 6 homolog beta (PAR-6 beta) (PAR-6B)	PARD6B PAR6B
Q99497	Protein/nucleic acid deglycase DJ-1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Maillard deglycase) (Oncogene DJ1) (Parkinson disease protein 7) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1)	PARK7
Q6UY27	Prostate and testis expressed protein 2 (PATE-like protein M) (PATE-M)	PATE2 C11orf38 UNQ3112/PRO10144
B3GLJ2	Prostate and testis expressed protein 3 (Acrosomal vesicle protein HEL-127) (PATE-like protein DJ) (PATE-DJ)	PATE3
Q8IV76	Circadian clock protein PASD1 (Cancer/testis antigen 63) (CT63) (OX-TES-1) (PAS domain-containing protein 1)	PASD1
Q9HBE1	POZ-, AT hook-, and zinc finger-containing protein 1 (BTB/POZ domain zinc finger transcription factor) (Protein kinase A RI subunit alpha-associated protein) (Zinc finger and BTB domain-containing protein 19) (Zinc finger protein 278) (Zinc finger sarcoma gene protein)	PATZ1 PATZ RIAZ ZBTB19 ZNF278 ZSG
Q9UGN5	Poly [ADP-ribose] polymerase 2 (PARP-2) (hPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2)	PARP2 ADPRT2 ADPRTL2
Q9Y6F1	Poly [ADP-ribose] polymerase 3 (PARP-3) (hPARP-3) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 3) (ARTD3) (IRT1) (NAD(+) ADP-ribosyltransferase 3) (ADPRT-3) (Poly[ADP-ribose] synthase 3) (pADPRT-3)	PARP3 ADPRT3 ADPRTL3
Q9P2E7	Protocadherin-10	PCDH10 KIAA1400
Q9Y5I1	Protocadherin alpha-11 (PCDH-alpha-11)	PCDHA11 CNRS7
Q9UN75	Protocadherin alpha-12 (PCDH-alpha-12)	PCDHA12
Q9Y5F3	Protocadherin beta-1 (PCDH-beta-1)	PCDHB1
Q9Y5E7	Protocadherin beta-2 (PCDH-beta-2)	PCDHB2
Q96JQ0	Protocadherin-16 (Cadherin-19) (Cadherin-25) (Fibroblast cadherin-1) (Protein dachsous homolog 1)	DCHS1 CDH19 CDH25 FIB1 KIAA1773 PCDH16
Q9Y5E3	Protocadherin beta-6 (PCDH-beta-6)	PCDHB6
Q9Y5G7	Protocadherin gamma-A6 (PCDH-gamma-A6)	PCDHGA6
Q9Y5E2	Protocadherin beta-7 (PCDH-beta-7)	PCDHB7
Q8TAB3	Protocadherin-19	PCDH19 KIAA1313
P05165	Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)	PCCA
O60330	Protocadherin gamma-A12 (PCDH-gamma-A12) (Cadherin-21) (Fibroblast cadherin-3)	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707
Q8N6Y1	Protocadherin-20 (Protocadherin-13)	PCDH20 PCDH13
Q9Y5E9	Protocadherin beta-14 (PCDH-beta-14)	PCDHB14
Q9Y5H9	Protocadherin alpha-2 (PCDH-alpha-2)	PCDHA2
Q9Y5F8	Protocadherin gamma-B7 (PCDH-gamma-B7)	PCDHGB7
Q9Y5F6	Protocadherin gamma-C5 (PCDH-gamma-C5)	PCDHGC5
Q08174	Protocadherin-1 (Cadherin-like protein 1) (Protocadherin-42) (PC42)	PCDH1
Q9UN72	Protocadherin alpha-7 (PCDH-alpha-7)	PCDHA7 CNRS4
O95206	Protocadherin-8 (Arcadlin)	PCDH8
Q9HC56	Protocadherin-9	PCDH9
Q4G0U5	Cilia- and flagella-associated protein 221 (Primary ciliary dyskinesia protein 1)	CFAP221 PCDP1
P35227	Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (RING finger protein 110) (Zinc finger protein 144)	PCGF2 MEL18 RNF110 ZNF144
Q86SE9	Polycomb group RING finger protein 5 (RING finger protein 159)	PCGF5 RNF159
Q9UKZ9	Procollagen C-endopeptidase enhancer 2 (Procollagen COOH-terminal proteinase enhancer 2) (PCPE-2) (Procollagen C-proteinase enhancer 2)	PCOLCE2 PCPE2 UNQ250/PRO287
Q58A44	Prostate collagen triple helix protein (C1QTNF9B antisense RNA 1) (C1QTNF9B antisense gene protein 1)	PCOTH C1QTNF9B-AS1
P51955	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1
Q14494	Endoplasmic reticulum membrane sensor NFE2L1 (Locus control region-factor 1) (LCR-F1) (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Protein NRF1, p120 form) (Transcription factor 11) (TCF-11) [Cleaved into: Transcription factor NRF1 (Protein NRF1, p110 form)]	NFE2L1 HBZ17 NRF1 TCF11
Q16236	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2
Q12986	Transcriptional repressor NF-X1 (EC 2.3.2.-) (Nuclear transcription factor, X box-binding protein 1)	NFX1 NFX2
Q9Y697	Cysteine desulfurase, mitochondrial (EC 2.8.1.7)	NFS1 NIFS HUSSY-08
P25208	Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)	NFYB HAP3
Q8N5V2	Ephexin-1 (Eph-interacting exchange protein) (Neuronal guanine nucleotide exchange factor)	NGEF
Q9Y4Z2	Neurogenin-3 (NGN-3) (Class A basic helix-loop-helix protein 7) (bHLHa7) (Protein atonal homolog 5)	NEUROG3 ATOH5 BHLHA7 NGN3
Q92542	Nicastrin	NCSTN KIAA0253 UNQ1874/PRO4317
Q96TA1	Niban-like protein 1 (Meg-3) (Melanoma invasion by ERK) (MINERVA) (Protein FAM129B)	FAM129B C9orf88
Q86XR2	Niban-like protein 2 (B-cell novel protein 1) (Protein FAM129C)	FAM129C BCNP1
Q9NP64	Nucleolar protein of 40 kDa (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein) (Zinc finger CCHC domain-containing protein 17)	ZCCHC17 PS1D HSPC243 HSPC251 LDC4
Q13823	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1
Q99784	Noelin (Neuronal olfactomedin-related ER localized protein) (Olfactomedin-1)	OLFM1 NOE1 NOEL1
O95897	Noelin-2 (Olfactomedin-2)	OLFM2 NOE2
Q96PB7	Noelin-3 (Olfactomedin-3) (Optimedin)	OLFM3 NOE3 UNQ1924/PRO4399
Q9UM47	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	NOTCH3
O75161	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673
O75200	Nuclear pore complex-interacting protein family member B7 (Nuclear pore complex-interacting protein-like 1)	NPIPB7 NPIPL1
E9PQR5	Nuclear pore complex-interacting protein family member B8	NPIPB8
F8W1W9	Nuclear pore complex-interacting protein family member B9	NPIPB9
Q9BXD5	N-acetylneuraminate lyase (NALase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialate-pyruvate lyase) (Sialic acid aldolase) (Sialic acid lyase)	NPL C1orf13
O00476	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4
Q15761	Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor)	NPY5R NPYR5
P47972	Neuronal pentraxin-2 (NP2) (Neuronal pentraxin II) (NP-II)	NPTX2
Q6UXI9	Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like)	NPNT EGFL6L POEM UNQ295/PRO334
Q9HCQ7	Pro-FMRFamide-related neuropeptide VF [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide RFRP-2; Neuropeptide NPVF (Neuropeptide RFRP-3)]	NPVF C7orf9 RFRP
P01303	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]	NPY
Q9Y466	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)	NR2E1 TLX
P20393	Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1)	NR1D1 EAR1 HREV THRAL
Q14995	Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)	NR1D2
P55055	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	NR1H2 LXRB NER UNR
P43354	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR
Q92570	Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)	NR4A3 CHN CSMF MINOR NOR1 TEC
Q96RI1	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	NR1H4 BAR FXR HRR1 RIP14
Q96F24	Nuclear receptor-binding factor 2 (NRBF-2) (Comodulator of PPAR and RXR)	NRBF2 COPR
P13056	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2)	NR2C1 TR2
Q8WWG1	Pro-neuregulin-4, membrane-bound isoform (Pro-NRG4) [Cleaved into: Neuregulin-4 (NRG-4)]	NRG4
Q7Z2Y5	Nik-related protein kinase (EC 2.7.11.1)	NRK
P58400	Neurexin-1-beta (Neurexin I-beta)	NRXN1
Q9UNZ2	NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47)	NSFL1C UBXN2C
Q9BZ95	Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.43) (Nuclear SET domain-containing protein 3) (Protein whistle) (WHSC1-like 1 isoform 9 with methyltransferase activity to lysine) (Wolf-Hirschhorn syndrome candidate 1-like protein 1) (WHSC1-like protein 1)	NSD3 WHSC1L1 DC28
P42857	Neuronal vesicle trafficking-associated protein 1 (Neuron-enriched endosomal protein of 21 kDa) (Neuron-specific protein family member 1)	NSG1 D4S234 NEEP21
Q5PT55	Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5)	SLC10A5
P34130	Neurotrophin-4 (NT-4) (Neurotrophin-5) (NT-5) (Neutrophic factor 4)	NTF4 NTF5
Q8IVF1	NUT family member 2A	NUTM2A FAM22A KIAA2020
A6NNL0	NUT family member 2B	NUTM2B FAM22B
A1L443	NUT family member 2F	NUTM2F FAM22F
Q96CW9	Netrin-G2 (Laminet-2)	NTNG2 KIAA1857 LMNT2 UNQ9381/PRO34206
P03886	NADH-ubiquinone oxidoreductase chain 1 (EC 1.6.5.3) (NADH dehydrogenase subunit 1)	MT-ND1 MTND1 NADH1 ND1
P04070	Vitamin K-dependent protein C (EC 3.4.21.69) (Anticoagulant protein C) (Autoprothrombin IIA) (Blood coagulation factor XIV) [Cleaved into: Vitamin K-dependent protein C light chain; Vitamin K-dependent protein C heavy chain; Activation peptide]	PROC
P60673	Profilin-3 (Profilin III)	PFN3
C9JH25	Proline-rich transmembrane protein 4	PRRT4
Q9BWN1	Proline-rich protein 14	PRR14
Q7RTY9	Serine protease 41 (EC 3.4.21.-) (Testis serine protease 1) (TESSP-1)	PRSS41 TESSP1
E7EML9	Serine protease 44 (EC 3.4.21.-) (Testis serine protease 4) (TESSP-4)	PRSS44 TESSP4
A8MTI9	Putative serine protease 47 (EC 3.4.21.-)	PRSS47
A0A1B0GWB2	Proline rich transmembrane protein 1B	PRRT1B IFITMD8
Q8N3Z0	Inactive serine protease 35	PRSS35 C6orf158 UNQ522/PRO1057
O75832	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10
Q9BQI7	PH and SEC7 domain-containing protein 2 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 C) (Exchange factor for ARF6 C) (Pleckstrin homology and SEC7 domain-containing protein 2)	PSD2 EFA6C
Q9Y248	DNA replication complex GINS protein PSF2 (GINS complex subunit 2)	GINS2 PSF2 CGI-122 DC5 HSPC037
Q9BRX5	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)	GINS3 PSF3
Q14691	DNA replication complex GINS protein PSF1 (GINS complex subunit 1)	GINS1 KIAA0186 PSF1
Q9UL46	Proteasome activator complex subunit 2 (11S regulator complex subunit beta) (REG-beta) (Activator of multicatalytic protease subunit 2) (Proteasome activator 28 subunit beta) (PA28b) (PA28beta)	PSME2
Q7Z6K3	Protein prenyltransferase alpha subunit repeat-containing protein 1	PTAR1
O75127	Pentatricopeptide repeat-containing protein 1, mitochondrial	PTCD1 KIAA0632
Q9UKA9	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	PTBP2 NPTB PTB PTBLP
O95758	Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)	PTBP3 ROD1
Q6ISU1	Pre T-cell antigen receptor alpha (pT-alpha) (pTa) (pT-alpha-TCR)	PTCRA
Q14914	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)	PTGR1 LTB4DH
P12272	Parathyroid hormone-related protein (PTH-rP) (PTHrP) (Parathyroid hormone-like protein) (PLP) [Cleaved into: PTHrP[1-36]; PTHrP[38-94]; Osteostatin (PTHrP[107-139])]	PTHLH PTHRP
P23471	Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48) (Protein-tyrosine phosphatase receptor type Z polypeptide 1) (Protein-tyrosine phosphatase receptor type Z polypeptide 2) (R-PTP-zeta-2)	PTPRZ1 HTPZP2 PTPRZ PTPRZ2 PTPZ
Q9NZH4	Putative pituitary tumor-transforming gene 3 protein (hPTTG3) (Securin-3) (rcPTTG1)	PTTG3P PTTG3
Q8WXF1	Paraspeckle component 1 (Paraspeckle protein 1)	PSPC1 PSP1
E9PB15	Putative protein PTGES3L (Prostaglandin E synthase 3-like)	PTGES3L
P01270	Parathyroid hormone (PTH) (Parathormone) (Parathyrin)	PTH
Q9Y3E5	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)	PTRH2 BIT1 PTH2 CGI-147
Q3KNS1	Patched domain-containing protein 3 (Patched-related protein)	PTCHD3 PTR
P06454	Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1]	PTMA TMSA
Q05209	Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (PTP-PEST) (Protein-tyrosine phosphatase G1) (PTPG1)	PTPN12
P43378	Tyrosine-protein phosphatase non-receptor type 9 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG2) (PTPase MEG2)	PTPN9
Q15678	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	PTPN14 PEZ PTPD2
P18031	Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B)	PTPN1 PTP1B
Q86YD1	Prostate tumor-overexpressed gene 1 protein (PTOV-1) (Activator interaction domain-containing protein 2)	PTOV1 ACID2 PP642 UNQ6127/PRO20092
Q92932	Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60]	PTPRN2 KIAA0387
Q9Y2R2	Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)	PTPN22 PTPN8
Q96A99	Pentraxin-4	PTX4 C16orf38
Q12913	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148)	PTPRJ DEP1
Q8N142	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (IMP--aspartate ligase 1)	ADSSL1 ADSS1
Q9H0K6	Pseudouridylate synthase 7 homolog-like protein (EC 5.4.99.-)	PUS7L
Q96PZ0	Pseudouridylate synthase 7 homolog (EC 5.4.99.-)	PUS7 KIAA1897
Q8N0Z8	tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1)	PUSL1
Q6DKI7	Transmembrane protein PVRIG (CD112 receptor) (CD112R) (Poliovirus receptor-related immunoglobulin domain-containing protein)	PVRIG C7orf15
Q5TGL8	PX domain-containing protein 1	PXDC1 C6orf145
A1KZ92	Peroxidasin-like protein (EC 1.11.1.7) (Cardiac peroxidase) (Vascular peroxidase 2) (polysomal ribonuclease 1) (PRM1)	PXDNL VPO2
Q92626	Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein)	PXDN KIAA0230 MG50 PRG2 VPO VPO1
Q9NR77	Peroxisomal membrane protein 2 (22 kDa peroxisomal membrane protein)	PXMP2 PMP22
Q6NUJ5	PWWP domain-containing protein 2B	PWWP2B PWWP2
Q9BRQ0	Pygopus homolog 2	PYGO2 PP7910
Q02127	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	DHODH
Q9NRI6	Putative peptide YY-2 (Putative peptide YY2)	PYY2
Q5JQD4	Putative peptide YY-3 (Putative peptide YY3) (PYY-III)	PYY3
Q04671	P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog)	OCA2 D15S12 P
P22695	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	UQCRC2
Q00577	Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha)	PURA PUR1
O96011	Peroxisomal membrane protein 11B (Peroxin-11B) (Peroxisomal biogenesis factor 11B) (Protein PEX11 homolog beta) (PEX11-beta)	PEX11B
Q96HA9	Peroxisomal membrane protein 11C (Peroxin-11C) (Peroxisomal biogenesis factor 11C) (Protein PEX11 homolog gamma) (PEX11-gamma)	PEX11G PEX11C
P06737	Glycogen phosphorylase, liver form (EC 2.4.1.1)	PYGL
Q9Y3Y4	Pygopus homolog 1	PYGO1
Q8WU10	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1 (EC 1.8.1.-)	PYROXD1
Q16647	Prostacyclin synthase (EC 5.3.99.4) (Prostaglandin I2 synthase)	PTGIS CYP8 CYP8A1
P23469	Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48)	PTPRE
P23470	Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48)	PTPRG PTPG
P26022	Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14)	PTX3 TNFAIP5 TSG14
O95997	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	PTTG1 EAP1 PTTG TUTR1
P30520	Adenylosuccinate synthetase isozyme 2 (AMPSase 2) (AdSS 2) (EC 6.3.4.4) (Adenylosuccinate synthetase, acidic isozyme) (Adenylosuccinate synthetase, liver isozyme) (L-type adenylosuccinate synthetase) (IMP--aspartate ligase 2)	ADSS ADSS2
Q96QR8	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B)	PURB
Q9UJV8	Purine-rich element-binding protein gamma	PURG
Q7Z7A4	PX domain-containing protein kinase-like protein (Modulator of Na,K-ATPase) (MONaKA)	PXK
Q8NFP0	Peroxisomal testis-specific protein 1 (Small testis-specific peroxisomal protein)	PXT1 STEPP
Q96N64	PWWP domain-containing protein 2A	PWWP2A KIAA1935 MST101
Q8NDX1	PH and SEC7 domain-containing protein 4 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B) (Exchange factor for ARF6 B) (Pleckstrin homology and SEC7 domain-containing protein 4) (Telomeric of interleukin-1 cluster protein)	PSD4 EFA6B TIC
Q00888	Pregnancy-specific beta-1-glycoprotein 4 (PS-beta-G-4) (PSBG-4) (Pregnancy-specific glycoprotein 4) (Pregnancy-specific beta-1-glycoprotein 9) (PS-beta-G-9) (PSBG-9) (Pregnancy-specific glycoprotein 9)	PSG4 CGM4 PSG9
Q6PGN9	Proline/serine-rich coiled-coil protein 1	PSRC1 DDA3 FP3214
P0DJ07	Protein PET100 homolog, mitochondrial	PET100 C19orf79
Q6UWS5	Protein PET117 homolog, mitochondrial	PET117 UNQ607/PRO1194
P25105	Platelet-activating factor receptor (PAF-R) (PAFr)	PTAFR PAFR
Q14761	Protein tyrosine phosphatase receptor type C-associated protein (PTPRC-associated protein) (CD45-associated protein) (CD45-AP) (Lymphocyte phosphatase-associated phosphoprotein)	PTPRCAP LPAP
O14684	Prostaglandin E synthase (EC 5.3.99.3) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12
Q06203	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPAT)	PPAT GPAT
O15067	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase)	PFAS KIAA0361
A6NMY6	Putative annexin A2-like protein (Annexin A2 pseudogene 2) (Lipocortin II pseudogene)	ANXA2P2 ANX2L2 ANX2P2 LPC2B
O75061	Putative tyrosine-protein phosphatase auxilin (EC 3.1.3.48) (DnaJ homolog subfamily C member 6)	DNAJC6 KIAA0473
